quarter_label,total_surface_mineral_workers,quarter_date,financial_year
31 March 2014,6308,2014-03-31,2013-14
30 June 2014,7386,2014-06-30,2013-14
30 September 2014,5967,2014-09-30,2014-15
31 December 2014,5502,2014-12-31,2014-15
31 March 2015,5208,2015-03-31,2014-15
30 June 2015,5550,2015-06-30,2014-15
30 September 2015,4902,2015-09-30,2015-16
31 December 2015,5052,2015-12-31,2015-16
31 March 2016,4374,2016-03-31,2015-16
30 June 2016,4638,2016-06-30,2015-16
30 September 2016,4647,2016-09-30,2016-17
31 December 2016,4768,2016-12-31,2016-17
31 March 2017,4686,2017-03-31,2016-17
30 June 2017,5544,2017-06-30,2016-17
30 September 2017,6486,2017-09-30,2017-18
31 December 2017,6751,2017-12-31,2017-18
31 March 2018,6179,2018-03-31,2017-18
30 June 2018,7655,2018-06-30,2017-18
30 September 2018,8328,2018-09-30,2018-19
31 December 2018,6684,2018-12-31,2018-19
31 March 2019,5046,2019-03-31,2018-19
30 June 2019,5823,2019-06-30,2018-19
30 September 2019,5841,2019-09-30,2019-20
31 December 2019,5939,2019-12-31,2019-20
31 March 2020,5521,2020-03-31,2019-20
30 June 2020,5584,2020-06-30,2019-20
30 September 2020,5698,2020-09-30,2020-21
31 December 2020,5713,2020-12-31,2020-21
31 March 2021,5703,2021-03-31,2020-21
30 June 2021,6190,2021-06-30,2020-21
30 September 2021,6445,2021-09-30,2021-22
31 December 2021,6706,2021-12-31,2021-22
31 March 2022,6459,2022-03-31,2021-22
30 June 2022,7588,2022-06-30,2021-22
30 September 2022,7429,2022-09-30,2022-23
31 December 2022,6562,2022-12-31,2022-23
31 March 2023,6239,2023-03-31,2022-23
30 June 2023,6192,2023-06-30,2022-23
30 September 2023,6195,2023-09-30,2023-24
31 December 2023,6431,2023-12-31,2023-24
31 March 2024,5958,2024-03-31,2023-24
30 June 2024,6423,2024-06-30,2023-24
30 September 2024,6773,2024-09-30,2024-25
31 December 2024,6675,2024-12-31,2024-25
31 March 2025,5815,2025-03-31,2024-25
30 June 2025,6298,2025-06-30,2024-25
30 September 2025,6759,2025-09-30,2025-26
31 December 2025,6694,2025-12-31,2025-26
